gender,age,season,clothing_type
FEMALE,40대,spring&fall,롱스커트
FEMALE,20대,spring&fall,긴바지
FEMALE,40대,spring&fall,긴바지
FEMALE,20대,winter,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,summer,긴바지
FEMALE,40대,winter,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,40대,summer,숏스커트
MALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,30대,spring&fall,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,20대,summer,롱스커트
MALE,20대,spring&fall,긴바지
FEMALE,20대,summer,숏스커트
MALE,40대,summer,긴바지
FEMALE,50대 이상,winter,반바지
FEMALE,20대,winter,롱스커트
FEMALE,30대,winter,롱스커트
FEMALE,40대,summer,반바지
FEMALE,20대,spring&fall,긴바지
FEMALE,40대,summer,긴바지
FEMALE,20대,winter,긴바지
FEMALE,30대,spring&fall,숏스커트
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,숏스커트
FEMALE,30대,spring&fall,숏스커트
FEMALE,40대,winter,롱스커트
FEMALE,50대 이상,spring&fall,롱스커트
FEMALE,20대,winter,긴바지
FEMALE,20대,spring&fall,긴바지
MALE,30대,spring&fall,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
MALE,30대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,40대,winter,긴바지
FEMALE,40대,summer,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,30대,summer,긴바지
MALE,30대,spring&fall,긴바지
FEMALE,30대,spring&fall,숏스커트
FEMALE,20대,summer,숏스커트
FEMALE,20대,summer,숏스커트
FEMALE,30대,spring&fall,긴바지
MALE,30대,winter,긴바지
MALE,50대 이상,spring&fall,반바지
MALE,20대,spring&fall,긴바지
FEMALE,40대,summer,롱스커트
FEMALE,30대,spring&fall,롱스커트
FEMALE,20대,spring&fall,긴바지
FEMALE,40대,spring&fall,긴바지
FEMALE,40대,winter,롱스커트
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,30대,summer,긴바지
FEMALE,20대,summer,반바지
FEMALE,20대,spring&fall,긴바지
MALE,20대,winter,긴바지
MALE,40대,summer,반바지
FEMALE,20대,summer,긴바지
FEMALE,20대,winter,롱스커트
MALE,20대,spring&fall,긴바지
FEMALE,30대,spring&fall,숏스커트
FEMALE,20대,spring&fall,긴바지
MALE,40대,summer,긴바지
FEMALE,30대,summer,긴바지
FEMALE,40대,summer,반바지
MALE,20대,spring&fall,긴바지
FEMALE,20대,winter,긴바지
MALE,20대,summer,긴바지
FEMALE,20대,summer,롱스커트
FEMALE,40대,spring&fall,긴바지
FEMALE,30대,summer,반바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,30대,summer,긴바지
FEMALE,30대,summer,반바지
MALE,20대,spring&fall,긴바지
FEMALE,40대,spring&fall,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,50대 이상,spring&fall,긴바지
FEMALE,30대,spring&fall,긴바지
FEMALE,20대,summer,긴바지
MALE,40대,summer,반바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,winter,긴바지
FEMALE,40대,spring&fall,롱스커트
MALE,20대,summer,긴바지
MALE,30대,summer,반바지
FEMALE,20대,winter,긴바지
FEMALE,40대,summer,긴바지
FEMALE,20대,summer,숏스커트
MALE,20대,spring&fall,긴바지
FEMALE,40대,summer,긴바지
MALE,20대,spring&fall,긴바지
MALE,40대,spring&fall,긴바지
FEMALE,40대,spring&fall,롱스커트
FEMALE,30대,spring&fall,긴바지
FEMALE,30대,spring&fall,긴바지
FEMALE,40대,summer,긴바지
MALE,30대,spring&fall,긴바지
FEMALE,20대,summer,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
MALE,30대,spring&fall,긴바지
MALE,20대,summer,반바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,30대,spring&fall,롱스커트
FEMALE,30대,summer,긴바지
FEMALE,40대,winter,긴바지
FEMALE,30대,summer,숏스커트
FEMALE,50대 이상,spring&fall,롱스커트
FEMALE,30대,winter,롱스커트
FEMALE,20대,summer,긴바지
FEMALE,30대,spring&fall,긴바지
FEMALE,40대,summer,긴바지
FEMALE,40대,spring&fall,긴바지
FEMALE,20대,winter,긴바지
FEMALE,30대,spring&fall,긴바지
FEMALE,20대,summer,숏스커트
FEMALE,20대,winter,긴바지
MALE,40대,summer,반바지
MALE,50대 이상,summer,긴바지
MALE,20대,spring&fall,긴바지
MALE,30대,spring&fall,긴바지
MALE,30대,winter,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,20대,spring&fall,롱스커트
FEMALE,20대,summer,긴바지
MALE,30대,spring&fall,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,40대,summer,롱스커트
MALE,30대,winter,긴바지
FEMALE,30대,spring&fall,롱스커트
FEMALE,30대,spring&fall,롱스커트
FEMALE,50대 이상,summer,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,20대,spring&fall,롱스커트
MALE,30대,summer,반바지
FEMALE,20대,spring&fall,긴바지
FEMALE,30대,spring&fall,롱스커트
MALE,40대,spring&fall,긴바지
FEMALE,20대,summer,반바지
MALE,30대,spring&fall,긴바지
FEMALE,20대,winter,긴바지
MALE,20대,spring&fall,긴바지
MALE,30대,summer,반바지
MALE,40대,summer,반바지
FEMALE,20대,summer,반바지
FEMALE,30대,summer,반바지
FEMALE,20대,spring&fall,긴바지
FEMALE,30대,summer,반바지
FEMALE,30대,spring&fall,롱스커트
MALE,30대,winter,긴바지
MALE,40대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,30대,winter,긴바지
FEMALE,20대,spring&fall,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,20대,summer,롱스커트
MALE,30대,spring&fall,긴바지
MALE,30대,spring&fall,긴바지
MALE,20대,spring&fall,긴바지
MALE,30대,winter,긴바지
FEMALE,20대,summer,반바지
FEMALE,30대,winter,긴바지
FEMALE,30대,summer,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,30대,spring&fall,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,20대,spring&fall,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,30대,spring&fall,긴바지
MALE,30대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,summer,반바지
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,summer,숏스커트
FEMALE,40대,summer,롱스커트
MALE,20대,winter,긴바지
FEMALE,20대,summer,숏스커트
FEMALE,40대,summer,긴바지
FEMALE,20대,summer,반바지
FEMALE,30대,spring&fall,긴바지
MALE,30대,winter,긴바지
MALE,20대,spring&fall,긴바지
MALE,30대,summer,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,40대,summer,반바지
FEMALE,20대,summer,긴바지
FEMALE,20대,spring&fall,롱스커트
MALE,30대,spring&fall,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,40대,summer,롱스커트
FEMALE,40대,spring&fall,긴바지
FEMALE,50대 이상,summer,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,20대,winter,롱스커트
FEMALE,20대,spring&fall,롱스커트
FEMALE,30대,winter,숏스커트
FEMALE,30대,spring&fall,롱스커트
MALE,20대,spring&fall,긴바지
FEMALE,30대,spring&fall,긴바지
MALE,40대,spring&fall,긴바지
FEMALE,40대,summer,긴바지
MALE,40대,summer,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,50대 이상,winter,긴바지
MALE,50대 이상,summer,긴바지
FEMALE,30대,spring&fall,긴바지
MALE,20대,summer,긴바지
FEMALE,20대,spring&fall,긴바지
FEMALE,50대 이상,winter,롱스커트
FEMALE,50대 이상,summer,긴바지
FEMALE,20대,summer,반바지
MALE,50대 이상,summer,긴바지
FEMALE,30대,spring&fall,긴바지
FEMALE,30대,summer,롱스커트
FEMALE,40대,winter,긴바지
MALE,30대,spring&fall,긴바지
FEMALE,20대,winter,숏스커트
FEMALE,30대,winter,긴바지
MALE,20대,summer,반바지
FEMALE,30대,spring&fall,긴바지
FEMALE,50대 이상,spring&fall,반바지
FEMALE,30대,spring&fall,긴바지
FEMALE,40대,winter,긴바지
FEMALE,40대,winter,긴바지
FEMALE,20대,spring&fall,롱스커트
FEMALE,30대,spring&fall,숏스커트
FEMALE,20대,summer,긴바지
FEMALE,30대,spring&fall,긴바지
FEMALE,20대,spring&fall,숏스커트
MALE,20대,spring&fall,긴바지
MALE,20대,summer,반바지
FEMALE,50대 이상,summer,롱스커트
FEMALE,30대,spring&fall,긴바지
FEMALE,40대,summer,반바지
MALE,20대,spring&fall,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,20대,summer,긴바지
FEMALE,20대,spring&fall,긴바지
MALE,30대,spring&fall,긴바지
FEMALE,40대,spring&fall,긴바지
FEMALE,20대,summer,반바지
MALE,20대,winter,긴바지
FEMALE,30대,summer,롱스커트
FEMALE,20대,winter,롱스커트
FEMALE,20대,spring&fall,긴바지
FEMALE,20대,summer,롱스커트
FEMALE,20대,spring&fall,숏스커트
FEMALE,20대,spring&fall,긴바지
MALE,20대,summer,긴바지
FEMALE,50대 이상,spring&fall,롱스커트
FEMALE,20대,summer,롱스커트
FEMALE,30대,summer,반바지
FEMALE,50대 이상,spring&fall,긴바지
MALE,40대,summer,반바지
FEMALE,30대,spring&fall,롱스커트
FEMALE,20대,summer,숏스커트
MALE,40대,winter,긴바지
MALE,20대,spring&fall,긴바지
FEMALE,20대,winter,롱스커트
FEMALE,40대,summer,반바지
